t,theta1,theta2,omega1,omega2,KE1,KE2,PE1,PE2,TotalE
0,-1.619475212,-2.137610626,0,0,0,0,10.28735128,25.36480401,35.65215529
0.001,-1.61947023,-2.137610816,0.009963292,-0.000379656,4.96E-05,4.64E-05,10.28730247,25.36475677,35.65215529
0.002,-1.619455285,-2.137611385,0.019926487,-0.00075908,0.000198532,0.00018568,10.28715604,25.36461504,35.65215529
0.003,-1.619430377,-2.137612334,0.029889488,-0.001138041,0.000446691,0.000417788,10.28691198,25.36437883,35.65215529
0.004,-1.619395506,-2.137613661,0.039852198,-0.001516308,0.000794099,0.000742754,10.2865703,25.36404814,35.65215529
0.005,-1.619350673,-2.137615366,0.049814522,-0.001893648,0.001240743,0.001160593,10.286131,25.36362295,35.65215529
0.006,-1.619295877,-2.137617448,0.059776361,-0.002269831,0.001786607,0.001671322,10.28559409,25.36310327,35.65215529
0.007,-1.61923112,-2.137619905,0.069737618,-0.002644625,0.002431668,0.002274966,10.28495957,25.36248909,35.65215529
0.008,-1.619156402,-2.137622737,0.079698198,-0.003017798,0.003175901,0.00297155,10.28422744,25.36178039,35.65215529
0.009,-1.619071724,-2.13762594,0.089658003,-0.003389118,0.004019279,0.003761107,10.28339772,25.36097718,35.65215529
0.01,-1.618977087,-2.137629514,0.099616935,-0.003758353,0.004961767,0.004643671,10.28247041,25.36007945,35.65215529
0.011,-1.618872491,-2.137633456,0.109574899,-0.004125272,0.006003329,0.005619283,10.28144551,25.35908717,35.65215529
0.012,-1.618757937,-2.137637764,0.119531797,-0.004489642,0.007143925,0.006687986,10.28032303,25.35800035,35.65215529
0.013,-1.618633427,-2.137642435,0.129487531,-0.004851232,0.00838351,0.007849827,10.27910299,25.35681896,35.65215529
0.014,-1.618498963,-2.137647465,0.139442006,-0.005209809,0.009722037,0.009104859,10.2777854,25.355543,35.65215529
0.015,-1.618354544,-2.137652853,0.149395123,-0.005565141,0.011159451,0.010453138,10.27637026,25.35417244,35.65215529
0.016,-1.618200173,-2.137658595,0.159346786,-0.005916996,0.012695699,0.011894724,10.27485758,25.35270728,35.65215529
0.017,-1.618035851,-2.137664686,0.169296897,-0.00626514,0.01433072,0.013429681,10.27324739,25.3511475,35.65215529
0.018,-1.61786158,-2.137671124,0.17924536,-0.006609342,0.01606445,0.015058079,10.27153969,25.34949307,35.65215529
0.019,-1.617677361,-2.137677903,0.189192076,-0.006949368,0.017896821,0.016779989,10.2697345,25.34774398,35.65215529
0.02,-1.617483196,-2.137685021,0.199136948,-0.007284986,0.019827762,0.018595489,10.26783182,25.34590021,35.65215529
0.021,-1.617279087,-2.137692472,0.20907988,-0.007615961,0.021857198,0.02050466,10.26583169,25.34396174,35.65215529
